what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1422613263520
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1422613265176
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1422613265348
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1422613265379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613289612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613388462
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613425752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613434348
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422613439155
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613448664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613449367
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613450102
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613459171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613462283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613463767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613464955
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613473664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613474445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613475236
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422613478334
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613530578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613541293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613543790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613568846
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422613571285
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1422613578433
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422613579778
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613604160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613606368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613609737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613612346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613614603
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422613623629
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422613625020
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1422613632791
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422613634229
