what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422624816379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422624831257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422624853899
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422624854102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422624854477
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422624855118
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422624872845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422624881964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422624891150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422624894513
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1422624896605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422624900027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422624902167
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422624910723
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422624911789
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422624956502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422624979509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422624980431
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422624986232
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422625005896
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422625022752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422625046372
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422625046825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422625048775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422625062491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422625065453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422625071878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422625086996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422625090662
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422625091248
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422625107168
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422625107355
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422625107543
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422625107699
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422625107855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422625108027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422625108199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422625108371
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422625108527
