what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629325348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629328482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629334881
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629344871
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629347896
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629368547
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629377528
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629383010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629401975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629402923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629426829
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422629428312
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1422629449261
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629451602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629452948
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422629455407
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1422629457596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629469207
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629469944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629472787
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629473600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629477571
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629481398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629482369
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629485157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629487704
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422629539829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629540938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629586549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629609314
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629650272
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1422629652294
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629660769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629661862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629671957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629674582
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629675567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629748004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629750043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629750892
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629775529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629776430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629780968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629781897
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629789194
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629791458
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629792356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629796271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629798302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629799108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629808570
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629810557
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629811354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629833947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629836103
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629840362
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422629841613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629842794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629879990
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629901653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629902686
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1422629936523
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422629937851
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629938757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629940012
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629940903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1422629940934
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629943700
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1422629957842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422629966116
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629967346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629968022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629977277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422629993764
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422629994529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630000726
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1422630037689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422630050464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630052089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630058427
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422630072406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630073188
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630096904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630098959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630102919
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1422630103935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422630116677
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630117693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630132527
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422630134249
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422630159176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630160630
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630168241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1422630174096
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1422630181873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630187450
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630205337
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1422630206785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630218777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630223729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422630244009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630244792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630264862
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422630266841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422630268807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630269651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630292267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630299075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630304735
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1422630320083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422630326463
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422630332637
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630333637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630339409
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1422630345149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630349925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630434330
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1422630435878
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1422630437613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630454535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630533565
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630544174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630581444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630582640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630586704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630587907
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630601967
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1422630603592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630605623
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630606816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630612592
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630613234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630621424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1422630621455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422630622369
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630626224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630630059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1422630630075
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422630630559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630656330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1422630658936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630660125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1422630660157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1422630661188
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422630665464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422630675831
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422630676019
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422630676176
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1422630676332
